Installed Packages
1password.x86_64                                         8.9.14-1                             @1password                
bitstream-vera-sans-mono-fonts.noarch                    1.10-46.fc36                         @fedora                   
blivet-data.noarch                                       1:3.4.4-1.fc36                       @fedora-updates           
blivet-gui-runtime.noarch                                2.3.0-5.fc36                         @anaconda                 
bluez.x86_64                                             5.66-4.fc36                          @updates                  
bluez-cups.x86_64                                        5.66-4.fc36                          @updates                  
bluez-libs.i686                                          5.66-4.fc36                          @updates                  
bluez-libs.x86_64                                        5.66-4.fc36                          @updates                  
bluez-obexd.x86_64                                       5.66-4.fc36                          @updates                  
bluez-tools.x86_64                                       0.2.0-0.18.git20170912.7cb788c.fc36  @fedora                   
bodhi-client.noarch                                      7.0.1-1.fc36                         @updates                  
bolt.x86_64                                              0.9.2-1.fc36                         @anaconda                 
boost-filesystem.x86_64                                  1.76.0-12.fc36                       @fedora-updates           
boost-iostreams.x86_64                                   1.76.0-12.fc36                       @updates                  
boost-program-options.x86_64                             1.76.0-12.fc36                       @updates                  
boost-random.x86_64                                      1.76.0-12.fc36                       @updates                  
boost-regex.x86_64                                       1.76.0-12.fc36                       @fedora-updates           
boost-system.x86_64                                      1.76.0-12.fc36                       @fedora-updates           
boost-thread.x86_64                                      1.76.0-12.fc36                       @fedora-updates           
borgbackup.x86_64                                        1.2.3-1.fc36                         @updates                  
brasero-libs.x86_64                                      3.12.3-1.fc36                        @anaconda                 
bridge-utils.x86_64                                      1.7.1-4.fc36                         @fedora                   
brlapi.x86_64                                            0.8.4-4.fc36                         @fedora-updates           
brltty.x86_64                                            6.5-4.fc36                           @fedora-updates           
btrfs-progs.x86_64                                       6.1.2-1.fc36                         @updates                  
bubblewrap.x86_64                                        0.5.0-2.fc36                         @anaconda                 
bzip2.x86_64                                             1.0.8-11.fc36                        @anaconda                 
bzip2-libs.i686                                          1.0.8-11.fc36                        @anaconda                 
bzip2-libs.x86_64                                        1.0.8-11.fc36                        @anaconda                 
c-ares.x86_64                                            1.17.2-2.fc36                        @anaconda                 
ca-certificates.noarch                                   2022.2.54-1.2.fc36                   @fedora-updates           
cabextract.x86_64                                        1.9.1-3.fc36                         @anaconda                 
caca-utils.x86_64                                        0.99-0.59.beta20.fc36                @anaconda                 
cairo.i686                                               1.17.6-1.fc36                        @anaconda                 
cairo.x86_64                                             1.17.6-1.fc36                        @anaconda                 
cairo-gobject.i686                                       1.17.6-1.fc36                        @anaconda                 
